segment_id,route_segment,corridor,is_tent,daily_bev_traffic_2027,seasonal_multiplier,n_chargers_det,n_chargers_abm,n_chargers_stoch,delta_seasonal,delta_mc_noise,simulated_charging_rate,capacity_kw_abm
212,N-120,Standard,True,371.4,1.0,4,4,4,0,0,0.1325,600
213,N-120,Standard,True,203.6,1.0,4,4,4,0,0,0.138,600
214,N-120,Standard,False,421.0,1.0,2,2,2,0,0,0.1365,300
215,N-120,Standard,False,205.8,1.0,2,2,2,0,0,0.1135,300
216,N-120,Standard,False,203.6,1.0,2,2,2,0,0,0.1345,300
217,N-120,Standard,False,216.3,1.0,2,2,2,0,0,0.1335,300
218,N-120,Standard,False,203.6,1.0,2,2,2,0,0,0.1325,300
219,N-120,Standard,False,266.3,1.0,2,2,2,0,0,0.1265,300
220,N-120,Standard,False,203.6,1.0,2,2,2,0,0,0.1145,300
221,N-125,Standard,True,374.6,1.0,4,4,4,0,0,0.1275,600
222,N-125,Standard,True,374.6,1.0,4,4,4,0,0,0.1365,600
223,N-126,Standard,False,283.4,1.0,2,2,2,0,0,0.117,300
224,N-141,Standard,False,18.0,1.0,2,2,2,0,0,0.1155,300
225,N-145,Standard,False,594.8,1.0,2,2,2,0,0,0.128,300
226,N-152,Standard,True,336.6,1.0,4,4,4,0,0,0.13,600
227,N-154,Standard,False,306.8,1.0,2,2,2,0,0,0.1215,300
228,N-154,Standard,False,289.6,1.0,2,2,2,0,0,0.1315,300
229,N-155,Standard,False,83.6,1.0,2,2,2,0,0,0.1165,300
230,N-156,Standard,False,319.6,1.0,2,2,2,0,0,0.139,300
231,N-156,Standard,False,216.7,1.0,2,2,2,0,0,0.1105,300
232,N-1A,Standard,False,526.3,1.0,2,2,2,0,0,0.141,300
233,N-1A,Standard,False,643.7,1.0,2,2,2,0,0,0.1235,300
234,N-1A,Standard,False,195.6,1.0,2,2,2,0,0,0.122,300
235,N-1A,Standard,False,130.0,1.0,2,2,2,0,0,0.1255,300
236,N-1A,Standard,False,149.1,1.0,2,2,2,0,0,0.124,300
237,N-1A,Standard,False,20.3,1.0,2,2,2,0,0,0.1365,300
238,N-1A,Standard,False,149.1,1.0,2,2,2,0,0,0.129,300
239,N-1A,Standard,False,10.1,1.0,2,2,2,0,0,0.1205,300
240,N-1A,Standard,False,149.1,1.0,2,2,2,0,0,0.1245,300
241,N-1A,Standard,False,168.2,1.0,2,2,2,0,0,0.1265,300
242,N-1A,Standard,False,225.4,1.0,2,2,2,0,0,0.124,300
243,N-211A,Standard,False,5.6,1.0,2,2,2,0,0,0.127,300
244,N-211A,Standard,False,5.6,1.0,2,2,2,0,0,0.141,300
245,N-220,Standard,False,1554.0,1.0,4,4,4,0,0,0.129,600
246,N-223,Standard,False,179.3,1.0,2,2,2,0,0,0.125,300
247,N-223,Standard,False,488.3,1.0,2,2,2,0,0,0.1065,300
248,N-223,Standard,False,333.8,1.0,2,2,2,0,0,0.1225,300
249,N-225,Standard,False,230.6,1.0,2,2,2,0,0,0.1225,300
250,N-225,Standard,False,314.1,1.0,2,2,2,0,0,0.1285,300
251,N-225,Standard,False,283.3,1.0,2,2,2,0,0,0.1285,300
252,N-225,Standard,False,155.8,1.0,2,2,2,0,0,0.126,300
253,N-225A,Standard,False,3.0,1.0,2,2,2,0,0,0.1035,300
254,N-230,Standard,False,158.0,1.0,2,2,2,0,0,0.128,300
255,N-230,Standard,True,168.0,1.0,4,4,4,0,0,0.1185,600
256,N-230,Standard,True,148.0,1.0,4,4,4,0,0,0.131,600
257,N-232,Standard,False,197.8,1.0,2,2,2,0,0,0.1335,300
258,N-232,Standard,False,169.8,1.0,2,2,2,0,0,0.1315,300
259,N-232,Standard,False,203.9,1.0,2,2,2,0,0,0.1365,300
260,N-232,Standard,False,671.9,1.0,2,2,2,0,0,0.1215,300
261,N-232,Standard,False,197.8,1.0,2,2,2,0,0,0.134,300
262,N-232,Standard,False,197.8,1.0,2,2,2,0,0,0.12,300
263,N-232,Standard,False,318.0,1.0,2,2,2,0,0,0.1185,300
264,N-232,Standard,False,191.8,1.0,2,2,2,0,0,0.1195,300
265,N-232,Standard,False,56.5,1.0,2,2,2,0,0,0.1325,300
266,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.1245,300
267,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.117,300
268,N-232A,Standard,False,3.3,1.0,2,2,2,0,0,0.132,300
269,N-232A,Standard,False,0.3,1.0,2,2,2,0,0,0.1365,300
270,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.141,300
271,N-232A,Standard,False,12.4,1.0,2,2,2,0,0,0.1315,300
272,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.136,300
273,N-232A,Standard,False,0.3,1.0,2,2,2,0,0,0.1215,300
274,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.129,300
275,N-232A,Standard,False,2.9,1.0,2,2,2,0,0,0.1245,300
276,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.1365,300
277,N-232A,Standard,False,0.7,1.0,2,2,2,0,0,0.13,300
278,N-232A,Standard,False,24.4,1.0,2,2,2,0,0,0.1295,300
279,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.107,300
280,N-232A,Standard,False,201.8,1.0,2,2,2,0,0,0.127,300
281,N-232A,Standard,False,96.6,1.0,2,2,2,0,0,0.146,300
282,N-232A,Standard,False,7.9,1.0,2,2,2,0,0,0.133,300
