location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status
STAV2_0129,39.978848,-4.268037,A-40,2,Congested
STAV2_0130,39.392600348852966,-2.41080667023409,A-43,4,Congested
STAV2_0131,39.88855,-5.467399,A-5,4,Congested
STAV2_0132,40.82720266782806,-4.935825912655078,A-50,4,Congested
STAV2_0133,41.18201,-4.807545,A-6,4,Congested
STAV2_0134,41.27575,-4.887979,A-6,4,Congested
STAV2_0135,41.8658,-5.4207,A-6,4,Congested
STAV2_0136,40.60678,-6.824496,A-62,4,Congested
STAV2_0137,41.6424,-4.7627907,A-62,4,Sufficient
STAV2_0138,41.1888534905475,-5.697153263002667,A-66,4,Congested
STAV2_0139,41.79842261423094,-5.756283738862351,A-66,4,Congested
STAV2_0140,42.41139494241778,-5.588548526345261,A-66,4,Congested
STAV2_0141,42.50473254028296,-5.588289700067774,A-66R,2,Congested
STAV2_0142,37.658337,-1.705069,A-7,4,Sufficient
STAV2_0143,38.14595,-0.88898,A-7,11,Congested
STAV2_0144,39.623318,-0.30439,A-7,11,Congested
STAV2_0145,38.30772,-0.60557,A-70,10,Congested
STAV2_0146,42.91003,-2.663482,AP-1,4,Congested
STAV2_0147,42.834183,-1.666381,AP-15,4,Congested
STAV2_0148,40.06231755712379,-3.859392676034929,AP-41,2,Congested
STAV2_0149,40.72284294733156,-4.527654192230606,AP-51,4,Congested
STAV2_0150,40.77142761296735,-4.398188014383041,AP-6,4,Congested
STAV2_0151,42.56834,-2.861139,AP-68,4,Congested
STAV2_0152,42.542329693450576,-5.716524443734891,AP-71,2,Congested
STAV2_0153,38.559322,-0.134794,AP-7N,8,Congested
STAV2_0154,39.77346295439903,-0.19327550313743216,AP-7N,12,Congested
STAV2_0155,37.661213608385374,-0.8999686524756721,AP-7R,7,Congested
STAV2_0156,43.22526,-2.743108,AP-8,4,Congested
STAV2_0157,42.024418,-3.752409,N-1,2,Congested
STAV2_0158,42.6376,-3.110572,N-1,2,Congested
STAV2_0159,41.48559152809808,-3.3149305360046015,N-110,2,Congested
STAV2_0160,40.87398735889022,-4.230126544399446,N-110A,2,Congested
STAV2_0161,41.1772989226192,-3.6358133621666218,N-110A,2,Congested
STAV2_0162,41.75564460759367,-2.473891577477864,N-111,2,Congested
STAV2_0163,42.45322,-2.464703,N-111,2,Congested
STAV2_0164,42.071514,-1.794573,N-113,4,Sufficient
STAV2_0165,42.43218309178522,-2.777637465996418,N-120,4,Congested
STAV2_0166,42.52561,-7.527315,N-120,4,Congested
STAV2_0167,42.572495,-5.583343,N-120,4,Congested
STAV2_0168,41.527275,-5.699888,N-122,4,Congested
STAV2_0169,41.63162189698914,-3.5239541251788977,N-122,4,Congested
STAV2_0170,40.56683,-3.60891,N-1A,2,Congested
STAV2_0171,41.18812,-3.583655,N-1A,2,Congested
STAV2_0172,42.63596889961723,-3.1655451088521183,N-1A,2,Congested
STAV2_0173,39.98238,-0.05845,N-225,2,Congested
STAV2_0174,42.33361645489174,-2.144675330192736,N-232A,2,Congested
STAV2_0175,39.68209,-0.3288817,N-234,2,Congested
STAV2_0176,37.72687562917347,-1.0515114998476889,N-301,2,Congested
STAV2_0177,38.19207,-1.334314,N-301,2,Congested
STAV2_0178,38.525597,-1.703138,N-301,2,Congested
STAV2_0179,40.618183,-3.279721,N-320,2,Congested
STAV2_0180,40.609886358077866,-3.118471209161242,N-320A,2,Congested
STAV2_0181,38.9270222234194,-2.028839218679511,N-322,4,Congested
STAV2_0182,39.28478,-1.47229,N-322A,2,Congested
STAV2_0183,39.5819023972269,-1.2148468799076153,N-330A,2,Congested
STAV2_0184,37.838898,-0.777624,N-332,3,Sufficient
STAV2_0185,38.432507,-0.397384,N-332,3,Congested
STAV2_0186,38.371807,-0.4461212,N-334,5,Congested
STAV2_0187,38.29057480995289,-0.5586110814506424,N-338,4,Congested
STAV2_0188,38.29253,-0.5917,N-340,4,Congested
STAV2_0189,38.73875,-0.439747,N-340,4,Sufficient
STAV2_0190,40.02461883344227,-0.019357843501492267,N-340A,4,Congested
STAV2_0191,38.051533,-1.2108834,N-344,2,Congested
STAV2_0192,38.615204,-1.092887,N-344,2,Sufficient
STAV2_0193,39.939483339077064,-3.7630178439329125,N-400,2,Congested
STAV2_0194,39.70688107832415,-3.978349819715656,N-401A,2,Congested
STAV2_0195,40.360783,-4.3965583,N-403A,2,Congested
STAV2_0196,38.96264,-2.744697,N-430A,2,Congested
STAV2_0197,39.169215552135974,-5.897635540678118,N-5,4,Congested
STAV2_0198,39.961124,-4.843849,N-502A,2,Congested
STAV2_0199,39.489193,-6.377167,N-521,2,Congested
STAV2_0200,39.968392683497356,-4.778772680459908,N-5A,2,Congested
STAV2_0201,41.62732,-5.173078,N-6,2,Congested
STAV2_0202,42.15851736927558,-5.765291766357841,N-6,2,Congested
STAV2_0203,41.58686,-4.71882,N-601,2,Congested
STAV2_0204,42.098553,-5.032123,N-610,2,Congested
STAV2_0205,40.69666,-6.41751,N-620,2,Congested
STAV2_0206,41.95772259633738,-4.45245909764587,N-620,2,Congested
STAV2_0207,42.275448,-3.896919,N-620A,2,Congested
STAV2_0208,42.93125327703823,-5.112357106209384,N-621,2,Moderate
STAV2_0209,42.95543,-2.819914,N-622,4,Congested
STAV2_0210,42.42062726555179,-3.682433156130104,N-623,4,Congested
STAV2_0211,42.89337183542718,-2.7236557657036102,N-624,4,Congested
STAV2_0212,42.62890521701198,-3.8577296549759734,N-627,4,Congested
STAV2_0213,39.84905943100576,-6.332275148046952,N-630,2,Congested
STAV2_0214,40.69916,-5.623416,N-630,2,Congested
STAV2_0215,42.36074122824551,-5.567129560968874,N-630,2,Congested
STAV2_0216,40.388157,-5.751917,N-630A,2,Congested
STAV2_0217,43.11345893523968,-2.5192623529783646,N-636,4,Congested
STAV2_FIX_001,38.775545,-2.446657,N-322,4,Congested
STAV2_FIX_002,37.900207,-6.644477,N-433,4,Congested
STAV2_FIX_003,41.512416,-0.068422,AP-2,4,Congested
STAV2_FIX_004,40.455491,-1.232499,A-23,4,Congested
STAV2_FIX_005,37.82396,-6.716242,N-435,2,Congested
STAV2_FIX_006,43.069502,-4.755363,N-621,2,Congested
STAV2_FIX_007,38.695176,-4.919327,N-502,2,Congested
STAV2_FIX_008,42.681726,-8.634557,AP-9,4,Congested
