location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,source,connection_distance_km,available_capacity_mw,is_tent,tent_tier,nearest_substation_id,estimated_demand_kw,fixed_cost_eur,candidate_id
STAV2_0082,42.78830612578858,-0.530188452174671,N-330B,2,Congested,Endesa,high_imd,0.8399452026099519,0.0,False,none,CANDANCHU,300,200000.0,CAND_01895
STAV2_0083,37.03285,-4.530882,N-331,2,Congested,Endesa,upgrade,3.585060450531222,0.0,False,none,ANTEQUER,300,50000.0,CAND_00625
STAV2_0084,37.57366,-4.650703,N-331,2,Congested,Endesa,upgrade,4.234047732264455,0.0,False,none,MONTILLA,300,50000.0,CAND_00762
STAV2_0085,37.462911129518645,-4.568680866101379,N-331R,2,Congested,Endesa,high_imd,6.4966732726001135,0.0,False,none,EGABRENS,300,300000.0,CAND_01900
STAV2_0086,36.2564658780221,-5.33780952331509,N-340,4,Congested,Endesa,high_imd,0.5502062515246356,0.0,True,none,LASMESAS,600,200000.0,CAND_01909
STAV2_0087,36.7424,-3.5119,N-340,4,Congested,Endesa,upgrade,2.8997091347914323,0.0,True,none,MOTRIL,600,50000.0,CAND_00582
STAV2_0088,40.774628,0.659809,N-340,4,Congested,Endesa,upgrade,3.0245321729908046,0.0,True,none,AMPOLLA,600,50000.0,CAND_00640
STAV2_0089,41.34819,1.709984,N-340,4,Sufficient,Endesa,upgrade,1.8121967191112323,10.07,True,none,PENEDES,600,50000.0,CAND_01010
STAV2_0090,36.73960840665348,-3.3290176979466706,N-340A,4,Congested,Endesa,high_imd,4.307159647219339,0.0,True,none,GUALCHOS,600,200000.0,CAND_01919
STAV2_0091,36.83496,-2.464052,N-340A,4,Congested,Endesa,upgrade,1.9523481410399686,0.0,True,none,BELEN,600,50000.0,CAND_00609
STAV2_0092,37.36955644396135,-1.9631231831505374,N-340A,4,Congested,Endesa,high_imd,0.4456934620330262,0.0,True,none,H_OVERA,600,200000.0,CAND_01927
STAV2_0093,40.712418,0.57894,N-340A,4,Congested,Endesa,upgrade,1.5553790193623938,0.0,True,none,AMPOSTA,600,50000.0,CAND_00835
STAV2_0094,41.14001,1.374338,N-340A,4,Sufficient,Endesa,upgrade,1.578546750054764,58.65,True,none,ALTAFULLA,600,50000.0,CAND_01060
STAV2_0095,36.966331380344336,-1.987998390136652,N-341,4,Congested,Endesa,high_imd,7.127853243470128,0.0,True,comprehensive,CARBONER,600,300000.0,CAND_01931
STAV2_0096,36.7515099152563,-6.070390358053221,N-346,4,Congested,Endesa,high_imd,3.0479207545583296,0.0,True,comprehensive,AGROALIM,600,200000.0,CAND_01939
STAV2_0097,36.867458635136494,-2.377355276558308,N-347AL,4,Congested,Endesa,high_imd,4.2510972965506015,0.0,True,comprehensive,TOYO,600,200000.0,CAND_01940
STAV2_0098,36.165764,-5.360959,N-351,2,Congested,Endesa,upgrade,1.4176812276185298,0.0,False,none,CRINAVIS,300,50000.0,CAND_00620
STAV2_0099,35.91415166853004,-5.361057685192296,N-354,2,Congested,Endesa,high_imd,23.105747386110842,0.0,False,none,KWTARIFA,300,500000.0,CAND_01942
STAV2_0100,35.88942203474747,-5.375080207288559,N-362,2,Congested,Endesa,high_imd,23.9920483431004,0.0,False,none,KWTARIFA,300,500000.0,CAND_01943
STAV2_0101,37.28337,-5.932176,N-4,2,Congested,Endesa,upgrade,2.8765775734010304,0.0,False,none,DOSHMNAS,300,50000.0,CAND_00693
STAV2_0102,37.93162036196326,-4.651899209489412,N-4,2,Congested,Endesa,high_imd,3.3538466019782924,0.0,False,none,SRAFAELN,300,200000.0,CAND_01949
STAV2_0103,40.02904075951177,-2.1661595797326982,N-420,2,Sufficient,Endesa,grid_friendly,3.39401318455809,81.67,False,none,CIUDADELA,300,150000.0,CAND_01346
STAV2_0104,40.121244642586156,-1.3913231641084405,N-420A,2,Congested,Endesa,high_imd,22.09978241647153,0.0,False,none,VILLEL,300,500000.0,CAND_01990
STAV2_0105,41.111794902239495,0.7013965954031061,N-420A,2,Congested,Endesa,high_imd,5.0532818468537295,0.0,False,none,AUBALS,300,300000.0,CAND_01995
STAV2_0106,41.00149909132114,0.12095090514015515,N-420B,2,Congested,Endesa,high_imd,13.825602999902017,0.0,False,none,VALDERROBR,300,300000.0,CAND_01996
STAV2_0107,38.98594133330083,-4.284731996630556,N-430,2,Sufficient,Endesa,high_imd,19.552047552803536,84.5,False,none,S.EULALIA,300,500000.0,CAND_02001
STAV2_0108,39.13896794765962,-5.186272382574811,N-430A,2,Congested,Endesa,high_imd,0.5313569178725522,0.0,False,none,PTO_PENA,300,200000.0,CAND_02009
STAV2_0109,37.24739,-7.19851,N-431,2,Sufficient,Endesa,upgrade,0.9002313685868808,5.16,False,none,LEPE,300,50000.0,CAND_00595
STAV2_0110,37.55201731957217,-4.045061451648945,N-432A,2,Congested,Endesa,high_imd,4.12648659736921,0.0,False,none,ALCAUDET,300,200000.0,CAND_02039
STAV2_0111,38.13942934931493,-4.935629099158727,N-432A,2,Congested,Endesa,high_imd,3.1972978793750952,0.0,False,none,PTE_NUEV,300,200000.0,CAND_02032
STAV2_0112,38.292553376367,-5.231312480479327,N-432A,2,Congested,Endesa,high_imd,3.9266596658935042,0.0,False,none,PENARROY,300,200000.0,CAND_02029
STAV2_0113,38.612698065738925,-6.623417549527818,N-432A,2,Congested,Endesa,high_imd,11.297874618799888,0.0,False,none,T_MIGUEL,300,300000.0,CAND_02025
STAV2_0114,37.998284165928816,-4.785739072746305,N-432R,2,Congested,Endesa,high_imd,10.940881768252801,0.0,False,none,CEPANSA,300,300000.0,CAND_02044
STAV2_0115,37.900207,-6.644477,N-433,4,Congested,Endesa,gap_midpoint,10.256235499834318,0.0,True,none,MOLEONA,600,250000.0,CAND_02232
STAV2_0116,38.320087,-6.77897,N-435,2,Congested,Endesa,upgrade,1.363937564871727,0.0,False,none,JEREZCAB,300,50000.0,CAND_00205
STAV2_0117,37.409001408453335,-6.81068875709251,N-435A,2,Congested,Endesa,high_imd,7.65976316364176,0.0,False,none,V_CARMEN,300,300000.0,CAND_02052
STAV2_0118,37.93400888269142,-6.734962609213896,N-435A,2,Congested,Endesa,high_imd,3.5343590425125546,0.0,False,none,REPILADO,300,200000.0,CAND_02056
STAV2_0119,38.61262270273299,-6.822359675410567,N-435A,2,Congested,Endesa,high_imd,8.730422418635136,0.0,False,none,T_MIGUEL,300,300000.0,CAND_02053
STAV2_0120,37.18274210623369,-6.913655713344836,N-442,2,Sufficient,Endesa,grid_friendly,1.2665431783871939,5.74,False,none,TORREARE,300,150000.0,CAND_01368
STAV2_0121,37.28685741672922,-7.2069191038072,N-444,2,Moderate,Endesa,high_imd,2.254538942684054,4.87,False,none,COSTALUZ,300,200000.0,CAND_02060
STAV2_0122,37.2672215160606,-7.237576978881988,N-445,2,Sufficient,Endesa,high_imd,3.202921722545808,5.16,False,none,LEPE,300,200000.0,CAND_02061
STAV2_0123,37.25325252889134,-7.305714535534287,N-446,2,Sufficient,Endesa,grid_friendly,0.05329837959063869,5.05,False,none,ISLA_CRI,300,150000.0,CAND_01351
STAV2_0124,38.88283154367612,-6.829830557431908,N-5,4,Congested,Endesa,high_imd,2.3447402371283323,0.0,True,none,VEGASBAJ,600,200000.0,CAND_02065
STAV2_0125,38.408869086757605,-4.956864119254481,N-502,2,Congested,Endesa,high_imd,5.7596442949488535,0.0,False,none,SOLDADO,300,300000.0,CAND_02079
STAV2_0126,39.17104,-5.047223,N-502,2,Congested,Endesa,upgrade,12.117279347133719,0.0,False,none,PTO_PENA,300,150000.0,CAND_00824
STAV2_0127,38.201427372857864,-5.009139192926052,N-502A,2,Congested,Endesa,high_imd,12.120654205226161,0.0,False,none,PTE_NUEV,300,300000.0,CAND_02085
STAV2_0128,38.97965133649686,-4.860406548520457,N-502A,2,Sufficient,Endesa,high_imd,17.196383453871587,85.97,False,none,S.ANTONI,300,500000.0,CAND_02087
STAV2_0129,37.45534,-6.05513,N-630,2,Congested,Endesa,upgrade,1.0469747164043681,0.0,False,none,ITALICA,300,50000.0,CAND_00450
STAV2_0130,42.9617,-7.564019,A-54,4,Sufficient,Viesgo,upgrade,7.2288503253906224,16.5,True,comprehensive,SAN_CIBRAO,600,150000.0,CAND_01013
