od_pair,total,completed,avg_wait_min,avg_charge_stops,completion_rate_pct
VAL→HUS,7,7,0.0,2.4285714285714284,100.0
VLD→BIL,7,7,0.0,1.7142857142857142,100.0
LLE→MAD,6,6,0.0,2.8333333333333335,100.0
BIL→STD,6,6,0.0,1.6666666666666667,100.0
SEV→MER,6,6,0.0,1.0,100.0
MAD→HUS,6,6,0.0,2.3333333333333335,100.0
ALG→SEV,6,6,0.0,1.0,100.0
ALI→CAS,6,6,0.0,1.5,100.0
LEO→LUG,6,6,0.0,1.0,100.0
ALI→TAR,6,6,0.0,2.5,100.0
VAL→MUR,6,6,0.0,2.0,100.0
BAD→COR,6,6,0.0,1.1666666666666667,100.0
TAR→CAR,6,6,0.0,2.1666666666666665,100.0
HUE→JER,6,6,0.0,1.0,100.0
MUR→ALM,6,6,0.0,1.8333333333333333,100.0
CDZ→ALG,6,6,0.0,0.8333333333333334,100.0
MUR→VAL,6,6,0.0,1.8333333333333333,100.0
MAD→CAS,6,6,0.0,2.6666666666666665,100.0
MAD→JAE,6,6,0.0,2.6666666666666665,100.0
MAD→JER,6,6,0.0,4.166666666666667,100.0
MAD→LEO,6,6,0.17538434670812345,1.8333333333333333,100.0
MAD→PAL,6,6,0.0,2.6666666666666665,100.0
ZAR→SOR,6,6,0.0,0.5,100.0
COR→TAL,6,6,0.0,1.3333333333333333,100.0
CDZ→MAL,6,6,0.0,1.8333333333333333,100.0
HUE→BAD,6,6,0.0,1.6666666666666667,100.0
ALM→MUR,6,6,0.0,2.0,100.0
ZAR→BCN,6,6,0.33017983114526334,2.5,100.0
ALB→JAE,6,6,0.0,1.0,100.0
CAR→MAL,6,6,0.0,2.3333333333333335,100.0
LOG→MAD,6,6,0.0,1.6666666666666667,100.0
JAE→MAL,5,5,0.0,1.8,100.0
JAE→COR,5,5,0.0,1.2,100.0
JAE→ALB,5,5,0.0,0.8,100.0
VLD→GIJ,5,5,0.0,1.2,100.0
VIT→SSB,5,5,0.0,1.2,100.0
VAL→COR,5,5,0.0,3.2,100.0
HUS→VAL,5,5,0.0,2.8,100.0
SEV→MAD,5,5,0.0,3.0,100.0
JER→MAD,5,5,0.0,4.2,100.0
SAL→CAC,5,5,0.0,0.8,100.0
MAD→ALM,5,5,0.0,4.4,100.0
MAD→TAR,5,4,0.0,2.0,80.0
MAL→ALB,5,5,0.0,2.4,100.0
MAL→CAS,5,5,0.0,3.8,100.0
MER→SAL,5,5,0.0,1.4,100.0
MER→SEV,5,5,0.0,2.2,100.0
OVI→BIL,5,5,0.0,2.4,100.0
SAL→PAL,5,5,0.0,2.0,100.0
TAR→ALI,5,5,0.0,2.6,100.0
MAD→CDZ,5,4,0.0,2.8,80.0
SEV→VAL,5,5,0.0,3.8,100.0
SOR→LOG,5,5,0.0,0.6,100.0
SSB→BCN,5,5,0.0,3.8,100.0
LEO→MAD,5,5,1.1269350320452531,1.8,100.0
TAL→BAD,5,5,0.0,1.6,100.0
TAL→MER,5,5,0.0,0.8,100.0
MAD→BCN,5,5,0.0,3.6,100.0
ZAR→VLD,5,5,0.0,2.0,100.0
ALG→CDZ,5,5,0.0,0.6,100.0
BUR→ZAR,5,5,0.0,2.0,100.0
ALM→ALG,5,5,0.0,2.2,100.0
GUA→BCN,5,4,0.0,2.6,80.0
BIL→GIJ,5,5,0.0,0.8,100.0
BCN→ALB,5,5,0.0,4.0,100.0
CAR→TAR,5,5,0.0,1.6,100.0
ALB→BCN,5,5,0.0,2.8,100.0
BCN→PMP,5,5,0.0,2.4,100.0
ALI→BCN,5,4,0.0,2.6,80.0
CDZ→MAD,4,4,0.0,3.5,100.0
VAL→JAE,4,4,0.0,2.0,100.0
VAL→ALG,4,4,0.0,3.5,100.0
VLD→STD,4,4,0.0,1.5,100.0
ALM→TAR,4,4,0.0,3.0,100.0
OUR→ACO,4,4,0.0,1.25,100.0
GIR→MUR,4,4,0.0,3.0,100.0
VLD→VIT,4,4,0.0,1.75,100.0
CAS→CAR,4,4,0.0,2.5,100.0
MAD→OUR,4,4,0.0,3.5,100.0
OVI→SAL,4,4,0.0,1.75,100.0
MAD→VIG,4,4,0.0,3.75,100.0
ZAM→MAD,4,4,90.26874086041369,1.75,100.0
ALI→GIR,4,4,0.0,2.5,100.0
ALB→GRN,4,4,0.0,1.25,100.0
VAL→SEV,4,4,0.0,5.0,100.0
ZAM→SOR,4,4,0.0,1.75,100.0
CAS→MUR,4,4,0.0,2.0,100.0
PON→MAD,4,4,0.0,2.75,100.0
GIR→ALI,4,4,0.0,1.0,100.0
MAD→GIR,4,4,0.0,3.5,100.0
PAL→MAD,4,4,0.0,2.0,100.0
TER→MAD,4,4,8.95930516327843,2.25,100.0
GIJ→ACO,4,4,0.0,2.25,100.0
OUR→MAD,4,4,0.0,3.25,100.0
PMP→BCN,4,4,8.656826162955326,3.75,100.0
CAC→MER,4,4,0.0,0.75,100.0
TAR→MAD,4,4,0.0,1.75,100.0
OVI→VIG,4,4,0.0,1.75,100.0
VLD→LOG,4,4,0.0,2.25,100.0
VLD→LUG,4,4,0.0,1.5,100.0
AVL→TAL,4,4,17.788864994233307,2.0,100.0
MUR→GRN,4,4,0.0,2.0,100.0
ALM→CAS,4,4,0.0,3.0,100.0
VLD→PON,4,4,0.0,1.0,100.0
VAL→SSB,4,4,0.0,4.0,100.0
SSB→MAD,4,4,0.0,2.75,100.0
LLE→VAL,4,4,0.0,1.75,100.0
CAR→BCN,4,4,0.0,3.25,100.0
BCN→BIL,4,4,0.0,4.5,100.0
SEV→VLD,4,4,0.0,3.25,100.0
SSB→VIT,4,4,0.0,0.75,100.0
BCN→VLD,4,4,13.179801636211323,4.75,100.0
SSB→VAL,4,4,1.2891456870519846,3.75,100.0
BIL→BCN,4,4,0.0,3.75,100.0
VAL→VIT,4,4,0.0,3.5,100.0
ALI→SEV,4,4,0.0,3.75,100.0
MER→OVI,4,4,0.0,3.0,100.0
VAL→TAR,4,4,0.0,1.75,100.0
ZAR→BUR,4,4,0.0,1.75,100.0
JER→MAL,4,4,0.0,2.25,100.0
CAR→ALG,4,4,0.0,3.25,100.0
MER→MAD,4,4,0.0,1.75,100.0
SSB→GIJ,4,4,0.0,2.25,100.0
ALG→JER,3,3,0.0,0.6666666666666666,100.0
VAL→BIL,3,3,0.0,4.0,100.0
TER→CUE,3,3,0.0,0.6666666666666666,100.0
GIJ→LEO,3,3,0.0,0.6666666666666666,100.0
MAD→TER,3,3,0.0,1.3333333333333333,100.0
SSB→ZAR,3,3,0.0,2.3333333333333335,100.0
GIJ→LOG,3,3,4.412077650492582,2.6666666666666665,100.0
CAS→ZAR,3,3,2.9485351152707913,2.6666666666666665,100.0
BCN→CAR,3,3,0.0,2.6666666666666665,100.0
TAR→TER,3,3,0.0,2.6666666666666665,100.0
CAC→SAL,3,3,0.0,1.3333333333333333,100.0
PMP→SOR,3,3,0.0,1.0,100.0
LUG→VLD,3,3,0.0,2.0,100.0
MAD→SOR,3,3,11.934300593653347,1.6666666666666667,100.0
ACO→VLD,3,3,0.0,2.6666666666666665,100.0
JAE→HUE,3,3,0.0,1.0,100.0
ZAR→SEG,3,3,0.0,2.3333333333333335,100.0
ACO→PON,3,3,0.0,1.0,100.0
VAL→ALM,3,3,0.0,2.6666666666666665,100.0
ALB→VLD,3,3,0.0,2.3333333333333335,100.0
MAD→LUG,3,3,0.0,3.6666666666666665,100.0
ALM→COR,3,3,0.0,2.0,100.0
ACO→OUR,3,3,0.0,1.0,100.0
AVL→COR,3,3,0.0,2.0,100.0
CRE→TAR,3,3,0.0,2.0,100.0
SOR→ZAM,3,3,369.93018426127384,1.0,100.0
CRE→VLD,3,3,3.5009370515994838,1.6666666666666667,100.0
MAD→HUE,3,3,0.0,3.3333333333333335,100.0
OVI→VLD,3,3,0.0,1.6666666666666667,100.0
BCN→ALI,3,3,0.0,3.0,100.0
OVI→ZAM,3,3,0.0,2.0,100.0
COR→ALI,3,3,0.0,2.6666666666666665,100.0
MAD→PON,3,3,0.0,2.6666666666666665,100.0
