bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRICV2_0160,40.02461883344227,-0.019357843501492267,N-340A,i-DE,600,Congested
FRICV2_0161,38.051533,-1.2108834,N-344,i-DE,300,Congested
FRICV2_0162,39.939483339077064,-3.7630178439329125,N-400,i-DE,300,Congested
FRICV2_0163,39.70688107832415,-3.978349819715656,N-401A,i-DE,300,Congested
FRICV2_0164,40.360783,-4.3965583,N-403A,i-DE,300,Congested
FRICV2_0165,38.96264,-2.744697,N-430A,i-DE,300,Congested
FRICV2_0166,39.169215552135974,-5.897635540678118,N-5,i-DE,600,Congested
FRICV2_0167,39.961124,-4.843849,N-502A,i-DE,300,Congested
FRICV2_0168,39.489193,-6.377167,N-521,i-DE,300,Congested
FRICV2_0169,39.968392683497356,-4.778772680459908,N-5A,i-DE,300,Congested
FRICV2_0170,41.62732,-5.173078,N-6,i-DE,300,Congested
FRICV2_0171,42.15851736927558,-5.765291766357841,N-6,i-DE,300,Congested
FRICV2_0172,41.58686,-4.71882,N-601,i-DE,300,Congested
FRICV2_0173,42.098553,-5.032123,N-610,i-DE,300,Congested
FRICV2_0174,40.69666,-6.41751,N-620,i-DE,300,Congested
FRICV2_0175,41.95772259633738,-4.45245909764587,N-620,i-DE,300,Congested
FRICV2_0176,42.275448,-3.896919,N-620A,i-DE,300,Congested
FRICV2_0177,42.93125327703823,-5.112357106209384,N-621,i-DE,300,Moderate
FRICV2_0178,42.95543,-2.819914,N-622,i-DE,600,Congested
FRICV2_0179,42.42062726555179,-3.682433156130104,N-623,i-DE,600,Congested
FRICV2_0180,42.89337183542718,-2.7236557657036102,N-624,i-DE,600,Congested
FRICV2_0181,42.62890521701198,-3.8577296549759734,N-627,i-DE,600,Congested
FRICV2_0182,39.84905943100576,-6.332275148046952,N-630,i-DE,300,Congested
FRICV2_0183,40.69916,-5.623416,N-630,i-DE,300,Congested
FRICV2_0184,42.36074122824551,-5.567129560968874,N-630,i-DE,300,Congested
FRICV2_0185,40.388157,-5.751917,N-630A,i-DE,300,Congested
FRICV2_0186,43.11345893523968,-2.5192623529783646,N-636,i-DE,600,Congested
FRICV2_0187,38.775545,-2.446657,N-322,Endesa,600,Congested
FRICV2_0188,37.900207,-6.644477,N-433,Endesa,600,Congested
FRICV2_0189,41.512416,-0.068422,AP-2,Endesa,600,Congested
FRICV2_0190,40.455491,-1.232499,A-23,Endesa,600,Congested
FRICV2_0191,37.82396,-6.716242,N-435,Endesa,300,Congested
FRICV2_0192,43.069502,-4.755363,N-621,Endesa,300,Congested
FRICV2_0193,38.695176,-4.919327,N-502,Endesa,300,Congested
FRICV2_0194,42.681726,-8.634557,AP-9,Endesa,600,Congested
